127.0.0.1 - - [15/Jun/2023:12:24:31 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:24:33 +0200] "GET /biblioteka/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:24:33 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:24:33 +0200] "GET /biblioteka/G_login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:24:33 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:24:35 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:24:50 +0200] "POST /biblioteka/login HTTP/1.1" 200 3187
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:24:50 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:25:40 +0200] "POST /biblioteka/login HTTP/1.1" 200 12442
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:25:40 +0200] "GET /biblioteka/A_styl.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:25:57 +0200] "GET /biblioteka/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:25:58 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:25:58 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:27:30 +0200] "POST /biblioteka/login HTTP/1.1" 200 12517
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:28:26 +0200] "POST /biblioteka/login HTTP/1.1" 200 12482
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:28:27 +0200] "GET /biblioteka/3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:28:53 +0200] "POST /biblioteka/login HTTP/1.1" 200 12482
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:28:59 +0200] "GET /biblioteka/C_Kategorie%20ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 24889
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:28:59 +0200] "GET /biblioteka/C_kategorie.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:34:52 +0200] "GET /biblioteka/C_Kategorie%20ksi%C4%85%C5%BCek.jsp HTTP/1.1" 500 3063
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:36:20 +0200] "GET /biblioteka/C_Kategorie%20ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 24893
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:36:29 +0200] "GET /biblioteka/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:36:29 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:36:29 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:36:31 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:36:31 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:36:31 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:36:31 +0200] "GET /biblioteka/H_rejestracja.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:36:56 +0200] "POST /biblioteka/register HTTP/1.1" 200 3192
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:36:56 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:37:12 +0200] "POST /biblioteka/login HTTP/1.1" 200 12475
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:37:16 +0200] "GET /biblioteka/C_Kategorie%20ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 24720
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:37:41 +0200] "GET /biblioteka/C_Kategorie%20ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 22136
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:37:46 +0200] "GET /biblioteka/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:37:46 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:37:46 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:38:05 +0200] "POST /biblioteka/login HTTP/1.1" 200 12482
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:38:07 +0200] "GET /biblioteka/C_Kategorie%20ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 22308
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:38:09 +0200] "GET /biblioteka/Dodaj_ksiazke.jsp HTTP/1.1" 200 2124
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:38:27 +0200] "GET /biblioteka/A_strona-gl.jsp HTTP/1.1" 200 12482
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:52:00 +0200] "GET /biblioteka/A_strona-gl.jsp HTTP/1.1" 200 12482
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:52:03 +0200] "GET /biblioteka/B_O%20bibiotece.jsp HTTP/1.1" 200 7620
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:52:03 +0200] "GET /biblioteka/B_styl_info.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:53:07 +0200] "GET /biblioteka/B_O%20bibiotece.jsp HTTP/1.1" 200 7620
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:53:10 +0200] "GET /biblioteka/E_S%C5%82ownik%20poj%C4%99%C4%87.jsp HTTP/1.1" 200 17700
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:53:10 +0200] "GET /biblioteka/E_styl_slownik.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:53:12 +0200] "GET /biblioteka/E_S%C5%82ownik%20poj%C4%99%C4%87.jsp HTTP/1.1" 200 17700
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:53:13 +0200] "GET /biblioteka/E_S%C5%82ownik%20poj%C4%99%C4%87.jsp HTTP/1.1" 200 17700
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:53:16 +0200] "GET /biblioteka/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:53:16 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:53:16 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:53:32 +0200] "POST /biblioteka/login HTTP/1.1" 200 12475
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:53:34 +0200] "GET /biblioteka/B_O%20bibiotece.jsp HTTP/1.1" 200 7613
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:53:36 +0200] "GET /biblioteka/E_S%C5%82ownik%20poj%C4%99%C4%87.jsp HTTP/1.1" 200 17693
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:53:36 +0200] "GET /biblioteka/C_Kategorie%20ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:53:38 +0200] "GET /biblioteka/F_personel.jsp HTTP/1.1" 200 5044
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:53:38 +0200] "GET /biblioteka/F_personel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:53:48 +0200] "GET /biblioteka/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:53:48 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:53:48 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:53:52 +0200] "GET /biblioteka/forgotPassword.jsp HTTP/1.1" 200 3027
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:54:01 +0200] "POST /biblioteka/forgotPassword HTTP/1.1" 200 1883
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:54:32 +0200] "POST /biblioteka/ValidateOtp HTTP/1.1" 200 3729
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:55:08 +0200] "POST /biblioteka/newPassword HTTP/1.1" 200 3193
0:0:0:0:0:0:0:1 - - [15/Jun/2023:12:55:08 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
