0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:52:13 +0200] "GET /biblioteka/C_kategorie.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:52:14 +0200] "GET /biblioteka/E_S%C5%82ownik%20poj%C4%99%C4%87.jsp HTTP/1.1" 200 17700
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:52:14 +0200] "GET /biblioteka/E_styl_slownik.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:52:15 +0200] "GET /biblioteka/F_personel.jsp HTTP/1.1" 200 5057
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:52:15 +0200] "GET /biblioteka/F_personel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:52:18 +0200] "GET /biblioteka/A_strona-gl.jsp HTTP/1.1" 200 12482
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:52:50 +0200] "GET /biblioteka/A_strona-gl.jsp HTTP/1.1" 200 12429
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:52:51 +0200] "GET /biblioteka/t%C5%82o_log_rej.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:55:26 +0200] "GET /biblioteka/A_strona-gl.jsp HTTP/1.1" 200 12457
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:55:26 +0200] "GET /biblioteka/t%C5%82o_log_rej.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:56:03 +0200] "GET /biblioteka/C_Kategorie%20ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 22331
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:56:04 +0200] "GET /biblioteka/Dodaj_ksiazke.jsp HTTP/1.1" 200 2124
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:59:06 +0200] "GET /biblioteka/E_S%C5%82ownik%20poj%C4%99%C4%87.jsp HTTP/1.1" 200 17700
