127.0.0.1 - - [07/Apr/2023:10:16:03 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:16:04 +0200] "GET /biblioteka/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:16:04 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:16:04 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:16:04 +0200] "GET /biblioteka/G_login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:16:05 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:16:12 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2168
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:16:12 +0200] "GET /biblioteka/H_rejestracja.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:16:12 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:16:12 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:16:51 +0200] "POST /biblioteka/register HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:16:51 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:17:05 +0200] "POST /biblioteka/login HTTP/1.1" 200 8743
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:17:05 +0200] "GET /biblioteka/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:17:05 +0200] "GET /biblioteka/A_styl.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:17:06 +0200] "GET /biblioteka/3.png HTTP/1.1" 200 34137
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:17:17 +0200] "GET /biblioteka/B_O%20bibiotece.jsp HTTP/1.1" 200 7326
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:17:17 +0200] "GET /biblioteka/B_styl_info.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:17:20 +0200] "GET /biblioteka/C_Kategorie%20ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 2044
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:17:20 +0200] "GET /biblioteka/C_kategorie.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:17:21 +0200] "GET /biblioteka/D_Wypo%C5%BCyczenia.jsp HTTP/1.1" 200 1943
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:17:21 +0200] "GET /biblioteka/D_wypozyczenia.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:17:21 +0200] "GET /biblioteka/E_S%C5%82ownik%20poj%C4%99%C4%87.jsp HTTP/1.1" 200 17251
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:17:21 +0200] "GET /biblioteka/E_styl_slownik.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:17:21 +0200] "GET /biblioteka/zdj1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:17:22 +0200] "GET /biblioteka/F_personel.jsp HTTP/1.1" 200 3289
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:17:22 +0200] "GET /biblioteka/F_personel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:17:23 +0200] "GET /biblioteka/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:17:23 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:17:24 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:19:28 +0200] "GET /biblioteka/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:19:28 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:19:28 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:19:32 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:19:32 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:19:32 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:19:56 +0200] "POST /biblioteka/register HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:19:56 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
