127.0.0.1 - - [02/Jun/2023:07:33:55 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:33:59 +0200] "GET /biblioteka/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:33:59 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:33:59 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:33:59 +0200] "GET /biblioteka/G_login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:34:00 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:34:34 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2480
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:34:34 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:34:34 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:34:39 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:34:39 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:34:42 +0200] "GET /biblioteka/forgotPassword.jsp HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:34:56 +0200] "POST /biblioteka/forgotPassword HTTP/1.1" 200 1883
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:35:42 +0200] "POST /biblioteka/ValidateOtp HTTP/1.1" 200 3421
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:37:14 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2480
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:37:14 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:37:14 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:38:25 +0200] "POST /biblioteka/register HTTP/1.1" 200 3192
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:38:25 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:38:44 +0200] "POST /biblioteka/login HTTP/1.1" 200 11980
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:38:44 +0200] "GET /biblioteka/A_styl.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:38:52 +0200] "GET /biblioteka/B_O%20bibiotece.jsp HTTP/1.1" 200 7208
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:38:52 +0200] "GET /biblioteka/B_styl_info.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:38:56 +0200] "GET /biblioteka/C_Kategorie%20ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 24503
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:39:01 +0200] "GET /biblioteka/pdf/dziady.pdf HTTP/1.1" 200 934072
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:39:13 +0200] "GET /biblioteka/pdf/Fahrenheit_451.pdf HTTP/1.1" 200 703644
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:39:37 +0200] "GET /biblioteka/Dodaj_ksiazke.jsp HTTP/1.1" 200 2124
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:39:56 +0200] "POST /biblioteka/DodajKsiazkeServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:39:56 +0200] "GET /biblioteka/A_strona-gl.jsp HTTP/1.1" 200 11980
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:39:59 +0200] "GET /biblioteka/C_Kategorie%20ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 24878
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:40:08 +0200] "GET /biblioteka/E_S%C5%82ownik%20poj%C4%99%C4%87.jsp HTTP/1.1" 200 17278
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:40:33 +0200] "GET /biblioteka/F_personel.jsp HTTP/1.1" 200 4651
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:40:33 +0200] "GET /biblioteka/F_personel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:40:43 +0200] "GET /biblioteka/A_strona-gl.jsp HTTP/1.1" 200 11980
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:40:48 +0200] "GET /biblioteka/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:40:48 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:40:48 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:41:00 +0200] "GET /biblioteka/forgotPassword.jsp HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:41:07 +0200] "GET /biblioteka/forgotPassword.jsp HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [02/Jun/2023:07:41:12 +0200] "POST /biblioteka/forgotPassword HTTP/1.1" 200 1883
