127.0.0.1 - - [26/Jun/2023:11:44:16 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:44:20 +0200] "GET /biblioteka/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:44:20 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:44:20 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:44:21 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:44:33 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:44:33 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:44:33 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:44:33 +0200] "GET /biblioteka/H_rejestracja.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:44:57 +0200] "POST /biblioteka/register HTTP/1.1" 200 3192
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:44:57 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:45:05 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:45:05 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:45:05 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:45:30 +0200] "POST /biblioteka/register HTTP/1.1" 200 2517
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:45:30 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:45:30 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:45:37 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:45:37 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:45:52 +0200] "POST /biblioteka/login HTTP/1.1" 200 3187
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:45:52 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:46:08 +0200] "POST /biblioteka/login HTTP/1.1" 200 3187
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:46:08 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:46:22 +0200] "POST /biblioteka/login HTTP/1.1" 200 12708
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:46:22 +0200] "GET /biblioteka/A_styl.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:46:22 +0200] "GET /biblioteka/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:47:51 +0200] "GET /biblioteka/B_O%20bibiotece.jsp HTTP/1.1" 200 7846
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:47:51 +0200] "GET /biblioteka/B_styl_info.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:48:23 +0200] "GET /biblioteka/E_S%C5%82ownik%20poj%C4%99%C4%87.jsp HTTP/1.1" 200 17930
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:48:23 +0200] "GET /biblioteka/E_styl_slownik.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:48:26 +0200] "GET /biblioteka/C_Kategorie-ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 31911
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:48:26 +0200] "GET /biblioteka/C_kategorie.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:48:32 +0200] "GET /biblioteka/E_S%C5%82ownik%20poj%C4%99%C4%87.jsp HTTP/1.1" 200 17930
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:49:31 +0200] "GET /biblioteka/F_personel.jsp HTTP/1.1" 200 5277
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:49:31 +0200] "GET /biblioteka/F_personel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:50:22 +0200] "GET /biblioteka/F_personel.jsp HTTP/1.1" 200 5277
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:51:20 +0200] "GET /biblioteka/info_o_koncie.jsp HTTP/1.1" 200 1878
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:51:20 +0200] "GET /biblioteka/info_uz.css HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:51:20 +0200] "GET /biblioteka/zdj.jpg HTTP/1.1" 200 2176293
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:51:28 +0200] "GET /biblioteka/forgotPassword.jsp HTTP/1.1" 200 3027
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:51:42 +0200] "GET /biblioteka/A_strona-gl.jsp HTTP/1.1" 200 12708
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:51:50 +0200] "GET /biblioteka/C_Kategorie-ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 31911
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:52:00 +0200] "GET /biblioteka/pdf/wesele.pdf HTTP/1.1" 200 952028
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:52:19 +0200] "GET /biblioteka/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:52:19 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:52:19 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:52:24 +0200] "GET /biblioteka/forgotPassword.jsp HTTP/1.1" 200 3027
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:52:31 +0200] "POST /biblioteka/forgotPassword HTTP/1.1" 200 1883
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:52:58 +0200] "POST /biblioteka/ValidateOtp HTTP/1.1" 200 3729
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:53:14 +0200] "POST /biblioteka/newPassword HTTP/1.1" 200 3736
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:53:40 +0200] "POST /biblioteka/newPassword HTTP/1.1" 200 3193
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:53:40 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:53:55 +0200] "POST /biblioteka/login HTTP/1.1" 200 12708
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:53:58 +0200] "GET /biblioteka/C_Kategorie-ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 31911
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:53:59 +0200] "GET /biblioteka/A_strona-gl.jsp HTTP/1.1" 200 12708
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:54:02 +0200] "GET /biblioteka/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:54:02 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:54:02 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:54:05 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:54:05 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:54:05 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:54:07 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:54:07 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:54:26 +0200] "POST /biblioteka/login HTTP/1.1" 200 12709
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:54:31 +0200] "GET /biblioteka/A_strona-gl.jsp HTTP/1.1" 200 12709
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:54:34 +0200] "GET /biblioteka/B_O%20bibiotece.jsp HTTP/1.1" 200 7847
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:54:36 +0200] "GET /biblioteka/E_S%C5%82ownik%20poj%C4%99%C4%87.jsp HTTP/1.1" 200 17931
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:54:38 +0200] "GET /biblioteka/F_personel.jsp HTTP/1.1" 200 5278
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:54:42 +0200] "GET /biblioteka/info_o_koncie.jsp HTTP/1.1" 200 1886
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:54:53 +0200] "GET /biblioteka/C_Kategorie-ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 40978
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:55:01 +0200] "GET /biblioteka/Dodaj_ksiazke.jsp HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:55:09 +0200] "POST /biblioteka/DodajKsiazkeServlet HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:55:12 +0200] "GET /biblioteka/C_Kategorie-ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 41711
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:55:46 +0200] "GET /biblioteka/C_Kategorie-ksi%C4%85%C5%BCek.jsp?deleteID=51 HTTP/1.1" 200 41711
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:55:47 +0200] "GET /biblioteka/C_Kategorie-ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:55:47 +0200] "GET /biblioteka/C_Kategorie-ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 40978
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:56:03 +0200] "GET /biblioteka/Dodaj_ksiazke.jsp HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:56:18 +0200] "POST /biblioteka/DodajKsiazkeServlet HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:56:19 +0200] "GET /biblioteka/C_Kategorie-ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 41711
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:57:40 +0200] "GET /biblioteka/C_Kategorie-ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 40978
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:57:42 +0200] "GET /biblioteka/Dodaj_ksiazke.jsp HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:57:52 +0200] "POST /biblioteka/DodajKsiazkeServlet HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:57:54 +0200] "GET /biblioteka/C_Kategorie-ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 41711
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:58:07 +0200] "GET /biblioteka/Dodaj_ksiazke.jsp HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:58:16 +0200] "POST /biblioteka/DodajKsiazkeServlet HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:58:17 +0200] "GET /biblioteka/C_Kategorie-ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 42448
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:58:30 +0200] "GET /biblioteka/C_Kategorie-ksi%C4%85%C5%BCek.jsp?deleteID=51 HTTP/1.1" 200 42448
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:58:31 +0200] "GET /biblioteka/C_Kategorie-ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 41722
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:58:31 +0200] "GET /biblioteka/C_Kategorie-ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:58:44 +0200] "GET /biblioteka/C_Kategorie-ksi%C4%85%C5%BCek.jsp?deleteID=52 HTTP/1.1" 200 41722
0:0:0:0:0:0:0:1 - - [26/Jun/2023:11:58:45 +0200] "GET /biblioteka/C_Kategorie-ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 8206
