127.0.0.1 - - [09/Apr/2023:12:02:50 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:02:53 +0200] "GET /biblioteka/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:02:53 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:02:54 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:02:54 +0200] "GET /biblioteka/G_login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:02:54 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:03:17 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2206
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:03:17 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2206
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:03:17 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:03:17 +0200] "GET /biblioteka/H_rejestracja.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:03:17 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:04:09 +0200] "POST /biblioteka/register HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:04:09 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:04:30 +0200] "POST /biblioteka/login HTTP/1.1" 200 8744
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:04:30 +0200] "GET /biblioteka/A_styl.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:04:30 +0200] "GET /biblioteka/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:04:38 +0200] "GET /biblioteka/A_strona-gl.jsp HTTP/1.1" 200 8744
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:05:46 +0200] "GET /biblioteka/B_O%20bibiotece.jsp HTTP/1.1" 200 7327
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:05:46 +0200] "GET /biblioteka/B_styl_info.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:08:30 +0200] "GET /biblioteka/C_Kategorie%20ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 2045
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:08:30 +0200] "GET /biblioteka/C_kategorie.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:08:36 +0200] "GET /biblioteka/D_Wypo%C5%BCyczenia.jsp HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:08:36 +0200] "GET /biblioteka/D_wypozyczenia.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:08:43 +0200] "GET /biblioteka/E_S%C5%82ownik%20poj%C4%99%C4%87.jsp HTTP/1.1" 200 17252
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:08:43 +0200] "GET /biblioteka/E_styl_slownik.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:08:43 +0200] "GET /biblioteka/zdj1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:09:16 +0200] "GET /biblioteka/F_personel.jsp HTTP/1.1" 200 3290
